acc_adv,ds_type,attack_type,eps
75.3000020980835,mnist,FGS,0.1
45.55000066757202,mnist,FGS,0.2
28.00000011920929,mnist,FGS,0.3
17.149999737739563,mnist,FGS,0.4
12.300000339746475,mnist,FGS,0.5
11.150000244379044,mnist,FGS,0.6
31.700000166893005,mnist,PGD,0.1
0.5499999970197678,mnist,PGD,0.2
0.10000000474974513,mnist,PGD,0.3
0.10000000474974513,mnist,PGD,0.4
0.0,mnist,PGD,0.5
0.10000000474974513,mnist,PGD,0.6
31.600001454353333,mnist,BIM,0.1
0.4999999888241291,mnist,BIM,0.2
0.1500000013038516,mnist,BIM,0.3
0.1500000013038516,mnist,BIM,0.4
0.1500000013038516,mnist,BIM,0.5
0.1500000013038516,mnist,BIM,0.6
35.19999980926514,mnist,MIM,0.1
1.2500000186264515,mnist,MIM,0.2
0.24999999441206455,mnist,MIM,0.3
0.24999999441206455,mnist,MIM,0.4
0.24999999441206455,mnist,MIM,0.5
0.24999999441206455,mnist,MIM,0.6
29.94999885559082,cifar,FGS,0.1
30.799999833106995,cifar,FGS,0.2
30.550000071525574,cifar,FGS,0.3
30.500000715255737,cifar,FGS,0.4
30.550000071525574,cifar,FGS,0.5
30.84999918937683,cifar,FGS,0.6
4.450000077486038,cifar,PGD,0.1
1.7000000923871994,cifar,PGD,0.2
1.7999999225139618,cifar,PGD,0.3
1.0999999940395355,cifar,PGD,0.4
1.4499999582767487,cifar,PGD,0.5
1.3500000350177288,cifar,PGD,0.6
24.300000071525574,cifar,BIM,0.1
24.300000071525574,cifar,BIM,0.2
24.250000715255737,cifar,BIM,0.3
24.250000715255737,cifar,BIM,0.4
24.250000715255737,cifar,BIM,0.5
24.250000715255737,cifar,BIM,0.6
23.800000548362732,cifar,MIM,0.1
23.800000548362732,cifar,MIM,0.2
23.800000548362732,cifar,MIM,0.3
23.800000548362732,cifar,MIM,0.4
23.800000548362732,cifar,MIM,0.5
23.800000548362732,cifar,MIM,0.6
